"Data Source","世界发展指标",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"阿鲁巴","ABW","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182708.524258","182310.818197","184792.314118","184397.116255","187173.754186","189327.966846","189761.460919","190194.829975","201185.919248","198821.63712","196898.84579","196057.044936","209799.819218","214455.641367","216550.716246","224710.592947","217901.897836","232934.398589","240029.210345","238064.673769","248889.480751","253223.388487","254863.640233","253035.336548","252352.728895","255535.269633","259260.352924","260982.22944","260781.034784","265714.806679","275690.743574","","","",
"阿富汗","AFG","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2841.412942","2930.139362","2886.076981","2926.0506","2758.94402","2878.304839","3117.90515","3427.95266","3724.143171","4000.904081","3477.594592","3073.603798","3555.745804","3693.63821","3666.140617","3823.075223","3662.061409","3595.066596","3880.009782","4157.353969","4578.781155","4684.088792","4723.347029","4774.904066","5089.099104","5057.086341","5043.515513","5263.964085","4670.406457","4647.418829","4863.386801","","","",
"","AFW","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72639.001474","76062.389042","77235.61641","78980.458374","138708.078739","139778.4938","144518.952411","146580.211439","152076.521469","152357.652495","158648.776716","153204.947434","155131.338755","162490.115687","161849.373994","170276.244321","170205.586621","170448.486732","172890.662259","170485.558381","177174.94328","181410.502191","183088.776517","187896.966466","188876.791422","192327.438969","202632.770216","203356.280458","206240.296884","209354.507101","216101.872949","","","",
"安哥拉","AGO","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15298.1161","15339.88228","15387.69965","15339.82603","15298.23041","15282.18339","13780.30535","13546.81271","14958.74467","13843.69484","14254.9178","14598.4332","15799.896","18109.8296","18236.7898","17925.7228","16570.96996","17741.51332","16832.97809","16929.86605","17812.16981","18403.57176","17489.66352","18068.72927","17527.36362","18238.39278","18282.69915","18661.83952","16759.86409","18795.60166","17757.86784","","","",
"阿尔巴尼亚","ALB","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1565.121148","1194.285004","1112.00166","1159.711516","1372.165772","1344.601428","1196.118016","1124.726404","1166.245992","1132.07298","1188.151368","1150.41014","1298.166111","1312.419883","1272.350455","1275.663026","1213.53018","1210.233533","1142.843086","1131.81984","1122.741193","1160.66258","1159.576168","1132.069355","1152.771143","1193.30493","1232.90805","1199.49957","1093.40189","1121.354209","1015.186729","","","",
"安道尔共和国","AND","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.408245","1.457396","1.506547","1.555698","1.604849","1.654","1.674723","1.695446","1.716169","1.736892","1.757614","1.840267","1.922919","2.005571","2.088223","2.170875","2.166855","2.162835","2.158815","2.154795","2.150774","2.072382","1.993989","1.915596","1.837204","1.758811","1.758811","1.758811","1.758811","1.758811","1.758811","","","",
"阿拉伯联盟国家","ARB","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69976.115466","69062.445214","70457.268047","73932.667294","75337.851031","77162.119908","80788.017616","82175.154933","86019.875258","87372.094373","93195.763149","92883.3426","96160.287125","95377.093592","99184.5543","101402.248267","101693.227545","103713.239125","103855.502165","106546.506582","105824.932901","108423.762971","110413.193205","111452.075061","111249.36813","111795.203992","113035.486008","114077.87582","113455.671045","113271.191851","113241.489865","","","",
"阿拉伯联合酋长国","ARE","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514.432023","570.568267","616.331712","656.015356","701.8894","751.295267","781.286733","799.3516","820.430867","859.159933","895.8324","955.683607","1087.801013","1164.62642","1179.631826","1246.171033","1295.740399","1349.881166","1455.829133","1562.9979","1601.255466","1603.86515","1616.374234","1765.332317","1812.577601","1774.076085","1869.465423","1955.49296","1960.438098","1921.149836","1829.639574","","","",
"阿根廷","ARG","一氧化氮排放量（千公吨二氧化碳当量）","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35099.886","34978.284","35708.7228","35235.4912","36190.7286","36238.14573","36617.09207","36935.9286","36596.13067","36766.63973","38831.5776","38634.36102","39168.85204","43089.99286","43316.96888","42938.8839","44294.25029","46711.05108","45381.24227","39791.09806","41008.30565","42143.05607","41611.2869","43058.52932","43399.01415","43040.15198","45959.5346","48583.77542","47884.22344","49875.87787","51061.49889","","","",
