"Data Source","世界发展指标",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"阿鲁巴","ABW","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","316767.20982","317180.658746","322963.542098","326031.157725","334937.538338","342969.977681","347444.262919","355357.490754","373127.931048","376218.65684","375632.86765","377769.373007","398651.854842","411121.263524","419876.243045","436996.973015","436259.015876","463081.664678","480703.381334","481251.203737","497654.715472","502230.713587","487468.705034","489075.788415","492826.706796","501370.330199","506100.475621","507551.008555","510884.913979","522988.026903","535800.147336","","","",
"阿富汗","AFG","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6735.57274","7018.87361","7124.43448","7209.86285","7462.89122","7825.029591","8671.811366","9396.953142","9959.927417","10782.37169","9560.365968","8347.272951","10195.37243","10506.94192","10500.3189","10731.72838","11176.055","11610.47661","12904.92073","13385.46484","15196.10646","15500.4959","15631.98785","15823.11729","16300.02674","15943.92618","15813.33064","15597.86259","15919.02455","15679.104","16222.03596","","","",
"","AFW","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244358.236695","264354.831034","274645.420269","279878.264517","286162.826456","284331.530782","294003.399849","293990.743917","289327.602996","280695.952068","287415.053636","287327.759552","280831.812943","302782.68886","310344.349776","322300.763183","320650.369786","316876.115588","316698.656423","313617.664728","331939.680534","338229.437617","340353.729697","343452.494455","350852.276821","356800.051561","366791.259709","373075.810362","383100.981105","392786.20676","396651.374881","","","",
"安哥拉","AGO","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21316.78281","21593.96632","22165.15234","22754.71835","23720.63686","25458.37788","25690.9888","26088.56973","28337.72315","27517.93908","27459.2825","27461.15","29195.3","31225.92","32190.235","33940.2375","33496.67019","36458.98038","37601.57807","36731.97826","38100.52595","37827.83037","36964.16479","37028.61921","36190.28613","38455.63556","38558.28907","37896.82008","34015.56609","35023.4996","32703.23811","","","",
"阿尔巴尼亚","ALB","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3544.179018","3496.030063","3408.133609","3487.524654","4078.360699","4079.841745","3908.034151","3702.706557","3564.438963","3614.401369","3665.113775","3607.007937","3561.112099","3572.183761","3499.262922","3485.974584","3436.85691","3304.341736","3133.841562","3023.683888","3029.718714","3019.352135","3060.733056","3060.841477","3086.507398","3105.39582","3092.440833","3047.750846","3008.433359","2848.125872","2692.195886","","","",
"安道尔共和国","AND","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.591023","23.636224","24.681425","25.726626","26.771827","27.817028","28.811622","29.806217","30.800811","31.795405","32.79","34.605504","36.421009","38.236513","40.052018","41.867522","43.697283","45.527044","47.356805","49.186566","51.016327","51.148002","51.279676","51.411351","51.543025","51.6747","52.059952","52.445203","52.830455","53.215707","53.600959","","","",
"阿拉伯联盟国家","ARB","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400520.24058","401118.999333","415914.051522","441854.659099","463449.581401","477472.111601","488128.967492","504045.540119","519382.278858","526284.047629","548484.615216","540976.879333","541270.530519","564272.339024","577327.859171","596684.327144","605790.404724","608413.300818","620362.155322","606708.009727","621596.705092","605712.186598","652341.825222","636022.026267","627157.092302","634690.843378","654705.65817","670315.595459","685632.640252","694250.45005","649060.987449","","","",
"阿拉伯联合酋长国","ARE","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21809.86706","23846.96342","23636.08228","23875.58864","25385.645","25933.44167","26898.29583","27222.625","27282.55917","26252.98833","27691.025","29052.7325","28736.74","32243.9675","34134.4775","36907.36","39067.90423","39507.22097","40975.7477","39666.94193","41466.75367","44911.71408","47042.9045","49435.20242","50171.81284","53345.24076","55510.72518","54622.7721","55329.91152","58152.42344","56944.70537","","","",
"阿根廷","ARG","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111946.93","111150.8875","113484.28","112657.41","113949.8825","115661.43","114921.205","115552.54","114526.1175","118192.48","119811.105","120443.1962","123719.9224","131292.9261","132880.0748","131957.976","134304.3686","134281.0012","133752.4012","127281.1338","119294.5639","118321.2923","121744.7231","123305.8615","124480.9874","124872.4333","126454.1365","130277.6547","130947.533","132855.1587","131035.6894","","","",
"亚美尼亚","ARM","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3651.259623","3446.608916","3160.305837","2899.231248","2730.94416","2566.212071","2411.595657","2260.054243","2058.650329","1913.886414","1800.4125","1847.5025","1900.5775","1954.2275","2012.4875","2045.47","2094.6225","2168.8325","2210.235","2174.7425","2203.9725","2214.40104","2271.224581","2361.520621","2413.531662","2466.930202","2487.234485","2433.451268","2347.375551","2323.339834","2319.921617","","","",
"美属萨摩亚","ASM","甲烷排放量（千吨二氧化碳当量）","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
