时间,碳排放量:按部门:农村:年,碳排放量:按部门:农村:按能源:原煤:年,碳排放量:按部门:农村:按能源:精煤:年,碳排放量:按部门:农村:按能源:其他洗煤:年,碳排放量:按部门:农村:按能源:煤球:年,碳排放量:按部门:农村:按能源:焦炭:年,碳排放量:按部门:农村:按能源:焦炉气:年,碳排放量:按部门:农村:按能源:其他气体:年,碳排放量:按部门:农村:按能源:其他焦化产品:年,碳排放量:按部门:农村:按能源:原油:年,碳排放量:按部门:农村:按能源:汽油:年,碳排放量:按部门:农村:按能源:煤油:年,碳排放量:按部门:农村:按能源:柴油:年,碳排放量:按部门:农村:按能源:燃油:年,碳排放量:按部门:农村:按能源:液化石油气:年,碳排放量:按部门:农村:按能源:炼油气:年,碳排放量:按部门:农村:按能源:其他石油制品:年,碳排放量:按部门:农村:按能源:天然气:年,碳排放量:按部门:农村:按能源:范围2热力:年,碳排放量:按部门:农村:按能源:范围2电力:年,碳排放量:按部门:农村:按能源:其他能源:年,碳排放量:按部门:农村:按能源:加工过程:年
2021-12-31 00:00:00,154753.0899,71009.24414,0,3028.935284,3051.638384,214.018225,136.050491,8.938913,0,0,43910.84814,75.8786,9998.296209,0,21476.13964,0,0,1843.101833,0,0,0,0
2020-12-31 00:00:00,151884.8361,73983.44566,0,3506.938797,3587.577161,247.098999,224.829201,13.110406,0,0,35313.82447,366.038365,9729.752684,0,23550.96109,0,0,1361.259267,0,0,0,0
2019-12-31 00:00:00,154478.8876,74130.32704,0,3793.654739,4062.500603,285.069974,177.55742,9.534841,0,0,37140.69931,700.207719,9972.308126,0,23143.94919,0,0,1063.078666,0,0,0,0
2018-12-31 00:00:00,166407.4922,87117.9175,0,4585.624057,4100.479536,328.794127,73.790097,2.38371,0,0,32865.89412,733.594303,10985.2246,0,24686.83739,0,0,926.952739,0,0,0,0
2017-12-31 00:00:00,182330.1498,103035.3817,0,7348.73855,3902.241959,471.472944,0,1.191855,0,0,30016.12155,756.661397,11069.68587,0,25149.57862,0,0,579.075371,0,0,0,0
2016-12-31 00:00:00,180215.2612,103553.2702,0,7695.016444,4889.943255,537.634492,0,10.726696,0,0,27249.76123,725.702929,12299.47909,0,22895.04576,0,0,358.681013,0,0,0,0
2015-12-31 00:00:00,174278.6832,104887.4915,0,7488.649898,4617.491107,632.56193,0,11.918551,0,0,23092.9039,770.62306,13642.5061,0,18825.55289,0,0,308.984246,0,0,0,0
2014-12-31 00:00:00,161690.0324,99778.09709,0,7354.123898,4461.341659,608.110923,0,7.15113,0,0,19085.01794,761.517628,13392.52549,0,15969.89476,0,0,272.251853,0,0,0,0
2013-12-31 00:00:00,156383.4122,99245.07418,0,7376.232626,4520.138762,607.027606,0,11.322623,0,0,17687.71599,753.322739,12093.2644,0,13886.88094,0,0,202.432353,0,0,0,0
2012-12-31 00:00:00,147457.8818,96890.9418,0,7231.553372,5317.797725,578.194397,0,14.898189,0,0,15380.63554,681.086312,8822.954213,0,12371.28336,0,0,168.536862,0,0,0,0
2011-12-31 00:00:00,140459.5286,93657.79603,0,6957.439144,5229.38775,540.223422,0,19.665609,0,0,13715.60974,622.204518,7629.668064,0,11927.64038,0,0,159.893946,0,0,0,0
2010-12-31 00:00:00,132263.9333,90929.95729,0,6821.082126,5077.098455,568.701654,0,26.220812,0,0,10799.69271,537.827515,6103.796327,0,11252.62679,0,0,146.929572,0,0,0,0
2009-12-31 00:00:00,124654.7455,87172.77857,0,6622.362775,4881.849384,552.305096,0,89.985059,0,0,8639.754169,531.150199,5003.015379,0,11031.90111,0,0,129.64374,0,0,0,0
2008-12-31 00:00:00,119089.5178,83456.56278,0,6295.041306,5277.701933,649.533806,0,85.217638,0,0,7214.721545,332.651782,4725.809159,0,10922.63407,0,0,129.64374,0,0,0,0
2007-12-31 00:00:00,140390.9079,85225.72259,0,5568.988652,6381.705929,936.042074,0,19665.60884,0,0,6666.249346,541.469688,4431.277551,0,10876.61041,0,0,97.232805,0,0,0,0
2006-12-31 00:00:00,139338.6614,87409.19321,0,6171.609124,5547.414617,1139.12926,0,75.08687,0,0,18021.14577,689.888229,10861.16244,0,9346.245654,0,0,77.786244,0,0,0,0
2005-12-31 00:00:00,116949.801,87241.83037,0,6359.234658,5901.552601,1162.429632,0,72.70316,0,0,3928.571145,716.293982,3277.59229,0,8224.771316,0,0,64.82187,0,0,0,0
2004-12-31 00:00:00,110708.0545,83539.65901,0,5986.353143,5434.723029,1452.965125,0,67.339812,0,0,3296.101336,767.89143,3092.272507,0,7005.927207,0,0,64.82187,0,0,0,0
2003-12-31 00:00:00,121119.8254,75949.81274,0,5411.951896,4639.655862,1590.178422,0,58.996827,0,0,25667.56235,1310.87869,1996.751052,0,4494.037589,0,0,0,0,0,0,0
2002-12-31 00:00:00,89324.52553,71105.50704,0,4958.505571,3760.536957,1607.150297,0,63.764247,0,0,1577.51609,1043.482504,1683.965909,0,3524.096914,0,0,0,0,0,0,0
2001-12-31 00:00:00,85780.83355,69549.20818,0,4900.666931,3398.05606,1897.110473,0,48.270131,0,0,1307.670109,2063.290886,1795.962171,0,820.598615,0,0,0,0,0,0,0
2000-12-31 00:00:00,45731.56201,30250.10186,0,4690.20752,3222.730364,2003.256608,0,47.078276,0,0,1241.232975,1993.179059,1532.368757,0,751.406592,0,0,0,0,0,0,0
